"GR_keas","GR_keas_copy","C_keas","D_keas","GR_ori","GR_ori_copy","C_ori","D_ori","GR_fit","GR_fit_copy","C_fit","D_fit"
"0.0116","0.0116","40.0010329991","20.7549314136","","","","","0.0116","0.0116","133.6096229099","38.8005567039"
"0.0117","0.0117","40.0009289172","20.7251161975","","","","","0.0117","0.0117","132.86680294","38.7137866832"
"0.0118","0.0118","40.0008353222","20.6964785018","","","","","0.0118","0.0118","132.134382215","38.6283644022"
"0.0119","0.0119","40.0007511576","20.6689718215","","","","","0.0119","0.0119","131.4121288553","38.54425777"
"0.012","0.012","40.0006754732","20.6425514884","","","","","0.012","0.012","130.6998180441","38.4614357207"
"0.0121","0.0121","40.0006074145","20.6171745983","","","","","0.0121","0.0121","129.997231755","38.3798681729"
"0.0122","0.0122","40.0005462132","20.5927999416","","","","","0.0122","0.0122","129.3041584931","38.2995259908"
"0.0123","0.0123","40.0004911784","20.5693879362","","","","","0.0123","0.0123","128.6203930479","38.2203809465"
"0.0124","0.0124","40.0004416887","20.5469005631","","","","","0.0124","0.0124","127.9457362569","38.1424056851"
"0.0125","0.0125","40.0003971854","20.5253013049","","","","","0.0125","0.0125","127.2799947807","38.0655736908"
"0.0126","0.0126","40.0003571662","20.5045550866","","","","","0.0126","0.0126","126.6229808877","37.9898592544"
"0.0127","0.0127","40.0003211792","20.4846282182","","","","","0.0127","0.0127","125.9745122484","37.9152374432"
"0.0128","0.0128","40.0002888181","20.4654883403","","","","","0.0128","0.0128","125.334411739","37.841684071"
"0.0129","0.0129","40.0002597176","20.4471043716","","","","","0.0129","0.0129","124.7025072537","37.7691756706"
"0.013","0.013","40.0002335493","20.4294464583","","","","","0.013","0.013","124.0786315245","37.6976894669"
"0.0131","0.0131","40.0002100175","20.4124859256","","","","","0.0131","0.0131","123.4626219499","37.6272033514"
"0.0132","0.0132","40.0001888568","20.3961952311","","","","","0.0132","0.0132","122.8543204297","37.5576958575"
"0.0133","0.0133","40.0001698281","20.3805479203","","","","","0.0133","0.0133","122.2535732078","37.4891461378"
"0.0134","0.0134","40.0001527167","20.3655185835","","","","","0.0134","0.0134","121.6602307212","37.421533941"
"0.0135","0.0135","40.0001373295","20.3510828144","","","","","0.0135","0.0135","121.0741474554","37.3548395912"
"0.0136","0.0136","40.0001234925","20.3372171708","","","","","0.0136","0.0136","120.4951818056","37.289043967"
"0.0137","0.0137","40.0001110498","20.323899136","","","","","0.0137","0.0137","119.9231959444","37.2241284822"
"0.0138","0.0138","40.0000998607","20.3111070829","","","","","0.0138","0.0138","119.3580556935","37.1600750669"
"0.0139","0.0139","40.0000897991","20.2988202384","","","","","0.0139","0.0139","118.7996304024","37.0968661496"
"0.014","0.014","40.0000807512","20.2870186497","","","","","0.014","0.014","118.2477928305","37.03448464"
"0.0141","0.0141","40.0000726149","20.2756831523","","","","","0.0141","0.0141","117.7024190346","36.9729139125"
"0.0142","0.0142","40.0000652985","20.2647953384","","","","","0.0142","0.0142","117.1633882611","36.9121377903"
"0.0143","0.0143","40.0000587192","20.2543375271","","","","","0.0143","0.0143","116.6305828417","36.8521405303"
"0.0144","0.0144","40.0000528028","20.2442927361","","","","","0.0144","0.0144","116.1038880942","36.7929068088"
"0.0145","0.0145","40.0000474826","20.2346446533","","","","","0.0145","0.0145","115.5831922261","36.7344217068"
"0.0146","0.0146","40.0000426984","20.2253776114","","","","","0.0146","0.0146","115.0683862428","36.6766706973"
"0.0147","0.0147","40.0000383962","20.2164765615","","","","","0.0147","0.0147","114.5593638588","36.6196396322"
"0.0148","0.0148","40.0000345275","20.2079270492","","","","","0.0148","0.0148","114.0560214129","36.5633147299"
"0.0149","0.0149","40.0000310486","20.1997151907","","","","","0.0149","0.0149","113.5582577855","36.5076825632"
"0.015","0.015","40.0000279202","20.1918276509","","","","","0.015","0.015","113.0659743204","36.4527300481"
"0.0151","0.0151","40.0000251071","20.1842516211","","","","","0.0151","0.0151","112.5790747486","36.3984444331"
