"Vi","D","GR","GR_copy","scores","C","scores2","GR_fit","GR_fit_copy","GR_fit_copy_copy","GR_fit_copy_copy_copy","C_fit","D_fit","Vi_fit","GR_fit #2","Vi_wold","C_keas","D_keas"
"3.4508727911","89.0104501832","0.0026772968","0.0026772968","0.0146462166","446.2939752971","0.8535378342","0.0046","0.0046","0.0046","0.0046","248.3349188406","54.02","2.8809636","0.0065","3.3600076032","78.1896286181","41.6287374587"
"3.5667659092","51.5004884242","0.0019213284","0.0019213284","0.015505227","499.5754364236","0.8449477304","0.0047","0.0047","0.0047","0.0047","246.554554678","54.02","2.8976489","0.0066","3.3393245375","76.8528896557","40.9170477334"
"2.8170159092","40.2065972444","0.0015016752","0.0015016752","0.0135370785","551.1433670222","0.8646292152","0.0048","0.0048","0.0048","0.0048","244.7739757905","54.02","2.9137584","0.0067","3.3183104958","75.567219285","40.2325473045"
"2.4987880868","33.8865045212","0.0022100546","0.0022100546","0.009710919","610.8395087419","0.9028908095","0.0049","0.0049","0.0049","0.0049","242.9931821523","54.02","2.9292921","0.0068","3.2970012097","74.3306664884","39.5741974359"
"2.0301943368","21.7030670212","0.0031123996","0.0031123996","0.0088695726","553.6710712419","0.9113042744","0.005","0.005","0.005","0.005","241.2121737374","54.02","2.94425","0.0069","3.2754293429","73.1413547848","38.9409990753"
"0.9265343663","56.8165229624","0.0031874076","0.0031874076","0.0094720644","522.2034711577","0.9052793557","0.0051","0.0051","0.0051","0.0051","239.43095052","54.02","2.9586321","0.007","3.2536248143","71.9974793821","38.3319913377"
"0.7390968663","60.5652729623","0.0029092214","0.0029092214","0.0094009944","466.0041675806","0.9059900559","0.0052","0.0052","0.0052","0.0052","237.6495124741","54.02","2.9724384","0.0071","3.2316150826","70.8973044381","37.7462500481"
"1.3186130107","55.6484272358","0.0113384761","0.0113384761","0.0076878555","56.8393329717","0.9231214453","0.0053","0.0053","0.0053","0.0053","235.8678595738","54.02","2.9856689","0.0072","3.2094253966","69.8391604264","37.1828863381"
"2.4989561083","75.6296467096","0.011934291","0.011934291","0.0079422886","123.4936031742","0.9205771145","0.0054","0.0054","0.0054","0.0054","234.0859917931","54.02","2.9983236","0.0073","3.1870790166","68.8214416031","36.6410452979"
"3.4361436083","101.3312958107","0.0115110012","0.0115110012","0.0104921949","114.0089418932","0.8950780511","0.0055","0.0055","0.0055","0.0055","232.3039091063","54.02","3.0104025","0.0074","3.1645974091","67.8426035698","36.1199046784"
"4.6404048877","47.6882549748","0.0093978135","0.0093978135","0.0102303466","173.2246752609","0.8976965345","0.0056","0.0056","0.0056","0.0056","230.5216114874","54.02","3.0219056","0.0075","3.1420004197","66.9011609302","35.6186736434"
"3.8235993139","33.0818027748","0.0067761965","0.0067761965","0.0100503448","112.0213219457","0.8994965524","0.0057","0.0057","0.0057","0.0057","228.7390989104","54.02","3.0328329","0.0076","3.119306426","65.9956850358","35.13659157"
"2.3980863994","43.7698226271","0.0031672355","0.0031672355","0.0098654314","143.4662684709","0.9013456859","0.0058","0.0058","0.0058","0.0058","226.9563713494","54.02","3.0431844","0.0077","3.096532473","65.124801818","34.6729268939"
"1.2734613994","21.2773226271","0.0010811431","0.0010811431","0.0098373153","105.9787684709","0.9016268468","0.0059","0.0059","0.0059","0.0059","225.1734287785","54.02","3.0529601","0.0078","3.0736943937","64.287189703","34.2269759993"
"0.1050402426","39.0405251018","0.0010471786","0.0010471786","0.0105267397","67.398815226","0.8947326031","0.006","0.006","0.006","0.006","223.3902711718","54.02","3.06216","0.0079","3.0508069163","63.481577606","33.7980621514"
"1.1359464926","34.3545876018","0.0010152831","0.0010152831","0.0072227667","124.9131029997","0.9277723332","0.0061","0.0061","0.0061","0.0061","221.6068985033","54.02","3.0707841","0.008","3.0278837592","62.7067430029","33.3855344692"
"0.4799152426","19.3595876018","0.0009852732","0.0009852732","0.0080326273","109.9181029997","0.9196737267","0.0062","0.0062","0.0062","0.0062","219.8233107471","54.02","3.0788324","0.0081","3.0049377165","61.9615100745","32.9887669378"
